,Epoch number,Dataset,Parameter,Result
0,0,Train dataset,Loss,0.4020677745063728
1,0,Train dataset,Jaccard Index,0.6912690399684639
2,0,Test dataset,Loss,0.3024007928998847
3,0,Test dataset,Jaccard Index,0.7859743394349751
4,1,Train dataset,Loss,0.269542294267182
5,1,Train dataset,Jaccard Index,0.8011193760087557
6,1,Test dataset,Loss,0.2737027453748803
7,1,Test dataset,Jaccard Index,0.8087886634625887
8,2,Train dataset,Loss,0.22706133099359888
9,2,Train dataset,Jaccard Index,0.8314053276988947
10,2,Test dataset,Loss,0.24415320393286252
11,2,Test dataset,Jaccard Index,0.8236890246993617
12,3,Train dataset,Loss,0.19427090256570656
13,3,Train dataset,Jaccard Index,0.856811409798738
14,3,Test dataset,Loss,0.2202788858037246
15,3,Test dataset,Jaccard Index,0.8476981614765368
16,4,Train dataset,Loss,0.1595799408365633
17,4,Train dataset,Jaccard Index,0.8827640893303346
18,4,Test dataset,Loss,0.18969593236320897
19,4,Test dataset,Jaccard Index,0.8671590811327884
20,5,Train dataset,Loss,0.13418947605886192
21,5,Train dataset,Jaccard Index,0.9023688808779851
22,5,Test dataset,Loss,0.1438339313394145
23,5,Test dataset,Jaccard Index,0.9004906196343271
24,6,Train dataset,Loss,0.1178700932971785
25,6,Train dataset,Jaccard Index,0.9146642774064965
26,6,Test dataset,Loss,0.12354191784795962
27,6,Test dataset,Jaccard Index,0.9154753590884962
28,7,Train dataset,Loss,0.10166284821440126
29,7,Train dataset,Jaccard Index,0.9265332032586927
30,7,Test dataset,Loss,0.12022394020306437
31,7,Test dataset,Jaccard Index,0.9231842097483183
32,8,Train dataset,Loss,0.0925548195699665
33,8,Train dataset,Jaccard Index,0.9340569978562471
34,8,Test dataset,Loss,0.12029789152898286
35,8,Test dataset,Jaccard Index,0.9206053865583319
36,9,Train dataset,Loss,0.07976031881347995
37,9,Train dataset,Jaccard Index,0.9435249555890806
38,9,Test dataset,Loss,0.13789797574281693
39,9,Test dataset,Jaccard Index,0.9146635908829538
40,10,Train dataset,Loss,0.07475103044482036
41,10,Train dataset,Jaccard Index,0.9475802979736685
42,10,Test dataset,Loss,0.10966706511221434
43,10,Test dataset,Jaccard Index,0.9303029336427387
44,11,Train dataset,Loss,0.07036774542844185
45,11,Train dataset,Jaccard Index,0.9512153312424633
46,11,Test dataset,Loss,0.11195171663635656
47,11,Test dataset,Jaccard Index,0.9258344236173128
48,12,Train dataset,Loss,0.06089964477676098
49,12,Train dataset,Jaccard Index,0.9583888349132003
50,12,Test dataset,Loss,0.0974088036700299
51,12,Test dataset,Jaccard Index,0.9355269607744718
52,13,Train dataset,Loss,0.05593224061287452
53,13,Train dataset,Jaccard Index,0.9619436843372952
54,13,Test dataset,Loss,0.09717942107664912
55,13,Test dataset,Jaccard Index,0.9350170649980244
56,14,Train dataset,Loss,0.05284473428798613
57,14,Train dataset,Jaccard Index,0.964398239260522
58,14,Test dataset,Loss,0.16152097324007436
59,14,Test dataset,Jaccard Index,0.9110119719254343
