,Epoch number,Dataset,Parameter,Result
0,0,Train dataset,Loss,0.16707143671985522
1,0,Train dataset,Jaccard Index,0.9524965465348652
2,0,Test dataset,Loss,0.08230973780155182
3,0,Test dataset,Jaccard Index,0.9479638306718123
4,1,Train dataset,Loss,0.154740099056226
5,1,Train dataset,Jaccard Index,0.9607535438358504
6,1,Test dataset,Loss,0.07107132947758625
7,1,Test dataset,Jaccard Index,0.9574455618858337
8,2,Train dataset,Loss,0.15613250079359248
9,2,Train dataset,Jaccard Index,0.9655856257872962
10,2,Test dataset,Loss,0.07287628203630447
11,2,Test dataset,Jaccard Index,0.958483288162633
12,3,Train dataset,Loss,0.14845641951640726
13,3,Train dataset,Jaccard Index,0.96857363825113
14,3,Test dataset,Loss,0.07616707447328065
15,3,Test dataset,Jaccard Index,0.9572259344552693
16,4,Train dataset,Loss,0.14601844522070156
17,4,Train dataset,Jaccard Index,0.970466309589959
18,4,Test dataset,Loss,0.06862611696124077
19,4,Test dataset,Jaccard Index,0.9629347763563457
20,5,Train dataset,Loss,0.14463426129883725
21,5,Train dataset,Jaccard Index,0.9711351036465784
22,5,Test dataset,Loss,0.07583630614374813
23,5,Test dataset,Jaccard Index,0.9572492837905884
24,6,Train dataset,Loss,0.13988556764460225
25,6,Train dataset,Jaccard Index,0.9736444824178454
26,6,Test dataset,Loss,0.0681683913265404
27,6,Test dataset,Jaccard Index,0.9618960085668062
28,7,Train dataset,Loss,0.14906244890265902
29,7,Train dataset,Jaccard Index,0.9715852880142104
30,7,Test dataset,Loss,0.07340980027067034
31,7,Test dataset,Jaccard Index,0.9571157631121183
32,8,Train dataset,Loss,0.13691353261855566
33,8,Train dataset,Jaccard Index,0.974200317557429
34,8,Test dataset,Loss,0.06370474006000318
35,8,Test dataset,Jaccard Index,0.9656581282615662
36,9,Train dataset,Loss,0.13611180812750065
37,9,Train dataset,Jaccard Index,0.9761528800910627
38,9,Test dataset,Loss,0.07436388064371913
39,9,Test dataset,Jaccard Index,0.9607931626470465
40,10,Train dataset,Loss,0.13901584463395145
41,10,Train dataset,Jaccard Index,0.9756529264047112
42,10,Test dataset,Loss,0.0736905563818781
43,10,Test dataset,Jaccard Index,0.9597118120444449
44,11,Train dataset,Loss,0.13394247443183488
45,11,Train dataset,Jaccard Index,0.9781660907705065
46,11,Test dataset,Loss,0.06618326255365421
47,11,Test dataset,Jaccard Index,0.9657592334245381
48,12,Train dataset,Loss,0.1379421107610906
49,12,Train dataset,Jaccard Index,0.9784075861245813
50,12,Test dataset,Loss,0.0813249682909564
51,12,Test dataset,Jaccard Index,0.9532065203315333
52,13,Train dataset,Loss,0.13890524895013498
53,13,Train dataset,Jaccard Index,0.9751772281709411
54,13,Test dataset,Loss,0.07233706998981927
55,13,Test dataset,Jaccard Index,0.9598132120935541
56,14,Train dataset,Loss,0.13403022613708682
57,14,Train dataset,Jaccard Index,0.9773682277527214
58,14,Test dataset,Loss,0.06249335447424337
59,14,Test dataset,Jaccard Index,0.9662221168216906
