,Epoch number,Dataset,Parameter,Result
0,0,Train dataset,Loss,0.3967458712998952
1,0,Train dataset,Jaccard Index,0.7558911788129361
2,0,Test dataset,Loss,0.28124525358802394
3,0,Test dataset,Jaccard Index,0.8321612571415148
4,1,Train dataset,Loss,0.22281136092181517
5,1,Train dataset,Jaccard Index,0.861665693398948
6,1,Test dataset,Loss,0.19109501415177396
7,1,Test dataset,Jaccard Index,0.8744978685128061
8,2,Train dataset,Loss,0.1584581906828925
9,2,Train dataset,Jaccard Index,0.8962726063817461
10,2,Test dataset,Loss,0.15216706183395887
11,2,Test dataset,Jaccard Index,0.8960592621251157
12,3,Train dataset,Loss,0.12367050405417647
13,3,Train dataset,Jaccard Index,0.9177979197457572
14,3,Test dataset,Loss,0.1284668308339621
15,3,Test dataset,Jaccard Index,0.9116633503060592
16,4,Train dataset,Loss,0.10064443200826645
17,4,Train dataset,Jaccard Index,0.932900378080172
18,4,Test dataset,Loss,0.12165422816025584
19,4,Test dataset,Jaccard Index,0.917639528450213
20,5,Train dataset,Loss,0.08896541438787897
21,5,Train dataset,Jaccard Index,0.9402861873680186
22,5,Test dataset,Loss,0.12117029334369459
23,5,Test dataset,Jaccard Index,0.9174133570570695
24,6,Train dataset,Loss,0.08329726031450467
25,6,Train dataset,Jaccard Index,0.9436256852105399
26,6,Test dataset,Loss,0.10504183173179626
27,6,Test dataset,Jaccard Index,0.929000060809286
28,7,Train dataset,Loss,0.06857556379704832
29,7,Train dataset,Jaccard Index,0.9545525925181736
30,7,Test dataset,Loss,0.10928174265121159
31,7,Test dataset,Jaccard Index,0.9288667377672697
32,8,Train dataset,Loss,0.058764201841343226
33,8,Train dataset,Jaccard Index,0.9609417074194578
34,8,Test dataset,Loss,0.08887199116380591
35,8,Test dataset,Jaccard Index,0.941272707361924
36,9,Train dataset,Loss,0.05632295985227433
37,9,Train dataset,Jaccard Index,0.9629274233479366
38,9,Test dataset,Loss,0.09259262994716042
39,9,Test dataset,Jaccard Index,0.9406218528747559
40,10,Train dataset,Loss,0.052101279391306585
41,10,Train dataset,Jaccard Index,0.9655760259271782
42,10,Test dataset,Loss,0.09037534578850395
43,10,Test dataset,Jaccard Index,0.9445524027473048
44,11,Train dataset,Loss,0.047105553411991796
45,11,Train dataset,Jaccard Index,0.9690294466286062
46,11,Test dataset,Loss,0.12717187326205404
47,11,Test dataset,Jaccard Index,0.9207485380925631
48,12,Train dataset,Loss,0.04579685017396914
49,12,Train dataset,Jaccard Index,0.9700026306036477
50,12,Test dataset,Loss,0.08247170812989536
51,12,Test dataset,Jaccard Index,0.9479484495363737
52,13,Train dataset,Loss,0.04272716501118424
53,13,Train dataset,Jaccard Index,0.972320897556911
54,13,Test dataset,Loss,0.10240538888855984
55,13,Test dataset,Jaccard Index,0.9382123225613644
56,14,Train dataset,Loss,0.04288003663314837
57,14,Train dataset,Jaccard Index,0.9722063452283912
58,14,Test dataset,Loss,0.0942179094019689
59,14,Test dataset,Jaccard Index,0.9454308058086195
